attributes_OBJECTID_1,attributes_STATUS,attributes_NAME,attributes_STATION,attributes_SEGMENT,attributes_BOARD,attributes_STATION_DE,attributes_LINK_TYPE,attributes_REGIONAL_T,attributes_CONTRACT,attributes_EDITDATE,attributes_WEBSITE,attributes_EDIT_FLAG,attributes_New,geometry_x,geometry_y
38,Existing / Under Construction,Spring District/120th Station,Spring District/120th,East Link, , ,7.0,No,0.0,1457308800000.0, ,A,0,-122.17857308148508,47.62377318917746
39,Existing / Under Construction,Bel-Red/130th Station,Bel-Red/130th,East Link, , ,7.0,No,0.0,1457308800000.0, ,A,0,-122.16564032406717,47.624448362013275
40,Existing / Under Construction,Overlake Village Station,Overlake Village,East Link, , ,7.0,No,0.0,1457308800000.0, ,A,0,-122.13891960818465,47.6363096313489
41,Existing / Under Construction,Redmond Technology Center Station,Redmond Technology Center,East Link, , ,7.0,No,0.0,1457308800000.0, ,A,0,-122.13362821567766,47.64484158288751
42,Future,Downtown Redmond Station,Downtown Redmond,East Link, , ,7.0,No,0.0,1457308800000.0, ,A,0,-122.12479755707145,47.673178574204975
43,Future,SE Redmond Station,SE Redmond,East Link, , ,7.0,No,0.0,1457308800000.0, ,A,0,-122.10977084207508,47.66729641596342
44,Future,Graham St Station,Graham St,ST3, , ,0.0, ,0.0,, , ,1,-122.28547663492319,47.5458722772059
45,Future,Boeing Access Rd,Boeing Access Rd,,,,,,,,,,0,-122.2849274074718,47.50713909442558
46,Future,"Delrdige Station (DEL-5, DEL-6)",Delridge,West Seattle,,,,,,,,,1,-122.36399159172265,47.56912223746804
47,Future,Avalon Station (WSJ-5),West Seattle Junction,West Seattle,,,,,,,,,1,-122.37558097190416,47.56515045291649
48,Future,Denny Station (DT-2),Downtown,Ballard,,,,,,,,,1,-122.33797539439585,47.61940072731998
49,Future,Stadium Station (CID-1a),CID,Ballard,,,,,,,,,1,-122.32597130010264,47.593811973811476
50,Future,Midtown Station (DT-1),Downtown,Ballard,,,,,,,,,1,-122.32933537822714,47.60315795774877
51,Future,Westlake Station (DT-1),Downtown,Ballard,,,,,,,,,1,-122.33594772433973,47.611076504941614
52,Future,South Lake Union Station (DT-1),Downtown,Ballard,,,,,,,,,1,-122.34441893713942,47.622074540447755
53,Future,Seattle Center Station (DT-1),Downtown,Ballard,,,,,,,,,1,-122.3580399544091,47.62331575384032
54,Future,Smith Cove Station (SIB-1),South Interbay,Ballard,,,,,,,,,1,-122.37584626259238,47.63205088352747
55,Future,IBB-1a Interbay Station,Interbay/Ballard,Ballard,,,,,,,,,1,-122.38012166157895,47.64846173276089
56,Future,"Ballard Station (IBB-1a, IBB-1b)",Interbay/Ballard,Ballard,,,,,,,,,1,-122.37595381035482,47.66806538020215
57,Future,"Alaska Junction Station (WSJ-3a, WSJ-5)",West Seattle Junction,West Seattle,,,,,,,,,1,-122.38413952314059,47.56104023389998
58,Future,SODO Station (WS SODO-1a Staggered),SODO,West Seattle,,,,,,,,,1,-122.3273694145498,47.581692918718105
